duration,GCB_1,GCB_2,GCB_3,GCB_4,GCB_5,GCB_6,GCB_7,GCB_8,GCB_9,GCB_10,GCB_11,GCB_12,GCB_13,GCB_14,GCB_15,BCTI_1,BCTI_2,BCTI_3,BCTI_4,BCTI_5,BCTI_6,BCTI_7,BCTI_8,BCTI_9,BCTI_10,BCTI_11,BCTI_12,BCTI_13,BCTI_14,BCTI_15,SIC,gender,age,edu_lv,employment,f.Gender,rndSel
366,2,1,5,4,2,3,2,5,2,2,4,3,3,2,5,1,1,1,1,8,1,9,1,6,9,1,4,3,1,1,3,1,36,1,6,Men,1
663,1,2,1,1,2,1,1,1,4,4,3,2,1,1,3,1,1,5,1,4,2,1,1,6,1,3,5,5,5,2,7,1,42,2,3,Men,1
802,3,3,2,4,4,2,3,3,4,4,3,4,4,2,5,4,4,7,4,5,4,4,4,6,5,6,5,4,6,5,6,1,43,4,3,Men,1
857,4,2,3,2,2,2,2,4,3,4,2,3,2,4,4,5,5,6,2,5,2,4,3,4,4,4,6,3,6,5,6,2,45,4,6,Women,1
718,1,3,2,3,2,2,3,4,4,3,2,4,2,2,4,5,4,5,3,5,1,5,3,5,5,5,5,3,5,4,5,2,53,2,6,Women,1
1570,4,1,2,1,2,3,2,1,4,1,3,1,1,1,5,1,1,8,1,2,5,5,1,6,2,1,3,1,5,2,4,1,47,4,2,Men,1
833,3,4,4,2,3,4,3,4,4,4,2,4,3,4,4,4,4,6,2,5,5,4,4,4,5,3,4,3,6,4,6,2,23,4,1,Women,1
1264,1,1,2,1,2,1,1,2,4,4,2,1,3,2,5,3,5,3,3,4,3,6,2,6,4,6,5,3,4,4,4,2,43,2,2,Women,1
1502,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,2,1,1,1,2,1,1,5,2,1,2,2,1,41,1,3,Men,1
1231,1,2,2,1,1,2,1,2,3,2,3,3,2,1,4,1,5,7,1,5,8,3,5,7,3,3,5,5,7,3,5,1,45,4,1,Men,1
716,1,4,5,2,3,2,3,5,5,4,3,3,4,4,4,6,3,4,5,7,6,9,1,9,9,2,5,5,5,3,2,2,36,3,6,Women,1
577,4,3,1,3,4,4,4,2,4,4,3,3,3,1,3,5,5,5,6,5,8,5,5,6,2,6,5,6,6,5,7,2,42,1,6,Women,1
489,3,4,2,2,4,2,4,3,4,4,4,4,2,4,4,4,5,4,4,6,3,3,5,6,3,6,5,4,6,6,7,2,26,1,2,Women,1
632,5,3,1,2,3,1,3,1,5,4,5,2,1,2,5,1,1,9,1,5,1,1,9,9,1,2,5,5,2,5,5,2,41,4,3,Women,1
401,3,4,2,2,4,3,4,2,3,5,4,3,2,2,5,4,4,8,3,6,2,2,5,4,2,4,5,3,6,3,6,1,43,4,1,Men,1
516,1,1,1,1,1,1,2,1,3,3,1,1,1,1,3,3,3,5,2,5,3,3,4,5,4,5,5,4,5,5,5,1,24,4,5,Men,1
894,3,3,1,2,1,2,3,2,4,2,3,3,3,2,4,1,5,6,2,5,1,5,1,5,5,2,5,3,5,5,4,1,46,4,3,Men,1
249,4,4,3,4,3,3,4,3,4,5,4,5,2,5,4,6,5,7,5,4,4,3,5,4,4,5,5,4,5,5,4,1,54,2,1,Men,1
506,2,4,4,2,2,2,2,5,4,5,2,2,4,2,4,2,6,8,3,3,3,7,2,6,6,3,5,6,6,2,7,2,42,3,6,Women,1
568,3,3,4,3,2,2,2,2,2,4,4,3,3,4,4,3,5,2,3,5,2,3,2,7,2,6,6,2,4,5,8,1,43,1,3,Men,1
826,4,3,3,4,4,3,4,4,4,4,3,4,4,4,3,6,6,5,6,6,4,4,5,7,6,6,6,5,6,5,7,2,38,1,6,Women,1
730,2,2,4,1,2,1,2,4,5,2,4,2,3,4,5,5,6,9,5,7,1,8,3,5,9,7,7,5,8,1,9,1,41,6,1,Men,1
554,1,4,2,3,2,2,3,4,4,2,2,3,4,4,4,4,3,5,4,6,3,4,3,6,4,6,5,4,6,4,3,2,38,4,2,Women,1
575,3,3,2,2,2,3,2,2,4,2,4,2,2,5,4,3,3,5,3,5,1,2,6,5,6,5,5,5,3,5,6,2,45,3,6,Women,1
1099,2,2,3,1,2,1,2,3,4,4,3,4,2,2,4,4,3,2,3,6,5,5,1,7,6,5,5,4,5,3,5,1,52,4,6,Men,1
1313,2,4,2,4,3,3,4,2,4,4,3,5,3,4,4,6,2,7,5,8,2,3,5,8,5,7,5,3,4,6,8,1,32,1,1,Men,1
515,2,3,4,3,3,2,3,4,4,5,4,2,3,2,4,6,5,5,5,5,5,5,6,5,6,7,5,6,8,6,6,2,33,4,2,Women,1
1402,5,5,3,2,3,1,4,3,4,4,4,4,3,2,5,1,7,2,1,7,2,5,7,3,5,7,5,5,9,5,7,2,33,1,6,Women,1
1211,2,1,1,1,1,2,1,1,2,2,2,1,1,1,3,5,2,3,3,3,2,2,3,4,2,4,4,4,3,3,5,2,33,4,3,Women,1
509,2,2,3,1,4,3,2,5,4,4,4,4,4,3,4,6,8,7,2,6,1,5,8,8,5,7,5,2,5,2,7,1,56,4,3,Men,1
