ID,大学,調査時期,学年,年齢,性別,居場所1,居場所2,居場所3,居場所4,居場所5,居場所6,居場所7,居場所8,居場所9,居場所10,居場所11,居場所12,居場所13,居場所14,居場所15,居場所16,居場所17,居場所18,居場所19,居場所20,居場所21,居場所22,居場所23,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,SS21,SS22,SS23,SS24,SS25,SS26,SS27,SS28,SS29,SS30,SS31,SS32,SS33,SS34,SS35,友人1,友人2,友人3,友人4,友人5,友人6,友人7,友人8,友人9,友人10,友人11,友人12,友人13,友人14,友人15,友人16,友人17,友人18,友人19,友人20,友人21,友人22,友人23,友人24,友人25,友人26,友人27,友人28,友人29,友人30,友人31,友人32,友人33,SS14R,SS10R,SS23R,SS33R,社会的居場所,個人的居場所,ソーシャルスキル,感情統制を除くソーシャルスキル,傷つけられ回避,距離確保,礼儀,傷つけ回避,Z関係開始,Z解読,Z主張性,Z感情統制,Z関係維持,Z記号化,Z社会的居場所,Z個人的居場所,Zソーシャルスキル5下位尺度版,Z傷つけられ回避,Z距離確保,Z礼儀,Z傷つけ回避,友人との付き合い方
1,1,1,4,21,1,1,1,4,1,1,1,3,1,2,1,1,1,1,1,1,3,4,1,3,4,4,4,1,1,1,1,4,1,1,1,1,4,1,4,2,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,4,4,1,5,5,2,1,5,5,1,5,1,5,5,3,5,3,5,5,5,5,3,5,5,5,3,3,5,3,3,5,1,1,1,1,3,1,4,4,1,1.2,3.375,1.898809524,1.516129032,2.222222222,4.428571429,4.111111111,3.75,-1.9771475,-1.75518359,-2.558009317,1.300097229,-0.966748564,-1.893567952,-3.173625425,0.468890169,-2.721447549,-0.986577132,2.051905941,0.301461584,0.503839184,1
2,1,1,4,21,1,2,3,4,3,3,3,4,2,4,4,3,3,3,3,4,4,4,4,4,3,4,4,2,1,1,2,4,3,2,3,3,4,3,3,1,2,3,2,1,1,2,2,1,2,4,1,1,2,1,2,1,1,1,2,4,1,2,3,3,2,5,3,2,1,4,1,1,2,1,1,4,3,3,2,4,3,2,2,4,4,4,2,4,1,2,2,1,1,1,1,3,2,2,4,4,3,4,2.360119048,2,1.888888889,1.428571429,3.222222222,2.875,-0.499331939,-1.521464626,-2.280353699,1.677442522,1.807602218,-1.893567952,-0.131300664,1.498372274,-1.505785919,-1.393440478,-1.400324499,-1.275414392,-0.779641062,2
3,1,1,3,20,2,4,3,2,3,4,4,3,4,4,4,4,4,4,4,4,3,3,4,3,4,3,3,4,4,4,4,1,3,4,2,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,3,4,4,3,3,2,2,3,3,4,3,4,2,4,2,4,5,3,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,4,5,5,4,4,3,2,1,1,1,3.866666667,3,3.011904762,3.419354839,4.222222222,4,4.777777778,4,1.717391404,1.049443974,2.162136181,-2.096010411,0.142991749,1.540101934,1.333522369,-0.148799094,2.060154864,1.454602942,1.558730164,1.484118566,0.870547826,3
4,1,1,3,20,2,4,3,4,3,4,2,3,3,4,3,4,2,3,3,2,2,3,4,4,3,2,2,2,3,4,3,4,2,3,3,3,3,2,2,1,2,3,2,1,3,3,2,3,3,3,3,4,3,1,4,3,2,4,2,4,1,4,2,5,4,3,4,5,5,2,3,5,3,5,5,5,3,5,5,5,5,3,3,5,5,3,3,5,5,4,1,1,4,3,3,1,2,3,2,4,3,3,2.833333333,2.709677419,3.333333333,4,4.333333333,3.625,0.609029732,0.582006047,-0.892075612,1.300097229,0.697861905,-0.176733009,-0.131300664,-0.148799094,0.277184473,0.36963402,1.558730164,0.695680578,0.320484863,4
5,1,1,3,20,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,4,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,2,3,1,4,2,3,4,2,4,1,3,4,3,3,2,2,3,2,3,3,3,3,2,3,3,5,5,2,3,3,3,5,3,4,5,4,4,5,5,5,5,5,2,3,3,4,3,4,2,4,4,3,2,2,3,3,4,4,1,2,2,3,2.666666667,3.125,2.69047619,2.64516129,3.444444444,3.142857143,3.888888889,4.125,-0.129878048,0.582006047,-0.614419994,0.168061349,0.142991749,0.681684463,-0.694694138,0.057097327,0.115096255,0.505255135,0.57237861,-0.09275741,1.053902147,4
6,1,1,3,20,2,3,3,2,3,2,2,3,2,3,2,2,4,2,2,4,3,4,2,3,2,2,3,2,3,2,1,3,1,2,2,3,4,3,1,2,2,4,2,2,1,2,3,2,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,5,5,2,2,5,2,5,3,4,5,5,5,5,5,5,4,5,4,5,5,5,2,4,2,3,2,4,2,4,4,4,1,2,2,3,2.466666667,2.875,2.25,2.096774194,3.888888889,2.428571429,4.777777778,4,-1.053512774,-1.054026699,-0.892075612,0.168061349,0.142991749,-1.03515048,-1.032730223,-0.354695515,-1.262653593,1.047739596,-0.249581019,1.484118566,0.870547826,4
7,1,1,3,20,1,3,3,4,3,4,2,2,2,3,3,3,3,3,3,3,4,4,3,4,3,4,4,3,3,2,3,1,2,1,2,3,4,4,1,2,2,4,4,4,4,2,3,3,4,2,4,4,2,3,3,3,1,3,4,3,3,3,2,2,3,5,4,3,4,3,5,5,5,4,4,5,4,5,5,5,4,4,4,5,5,4,4,4,3,3,3,3,4,5,5,5,1,1,1,2,2.933333333,3.625,2.520833333,2.677419355,4.333333333,3.571428571,4.444444444,4,-0.314604993,-0.352869808,1.051513711,-1.718665117,-0.411878407,1.110893198,-0.243979359,0.880683011,0.196140364,1.590224057,1.065554387,0.892790075,0.870547826,4
8,1,1,3,20,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,2,3,2,2,4,2,2,2,3,3,3,2,2,2,3,2,2,3,2,2,2,2,3,2,3,3,2,2,2,2,2,3,2,3,2,2,4,3,3,4,2,2,3,2,2,3,4,3,4,3,5,5,4,4,5,5,4,5,4,3,5,2,4,3,3,3,3,5,4,2,2,3,2,2.8,2.625,2.416666667,2.258064516,3.111111111,2.714285714,4.333333333,4,-0.314604993,-1.054026699,-0.892075612,0.545406642,-0.966748564,0.252475727,-0.469336749,-0.766488357,-0.857433049,0.098391789,0.079202833,0.695680578,0.870547826,4
9,1,1,3,20,1,3,3,4,3,3,2,2,2,3,3,3,3,2,2,4,3,3,2,3,3,4,4,2,3,2,3,4,3,3,4,3,3,2,3,2,2,4,4,2,3,2,3,2,4,4,2,3,2,1,3,2,2,3,2,3,2,3,4,3,3,5,4,2,3,5,2,2,3,4,3,4,3,5,5,5,4,4,4,4,5,3,2,4,3,3,2,2,2,1,2,4,1,3,3,3,2.666666667,3.25,2.860119048,2.709677419,2.666666667,2.714285714,4.555555556,3.25,0.054848897,0.582006047,-0.336764376,1.300097229,1.252732061,-0.176733009,-0.694694138,0.262993748,0.277184473,-0.444092671,0.079202833,1.089899572,-0.229578099,5
11,1,1,2,19,2,4,3,4,4,4,4,4,4,4,3,4,3,2,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,3,1,1,4,3,4,1,4,4,1,4,4,1,4,1,4,1,3,4,1,4,4,5,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,2,2,4,4,3.466666667,4,3.327380952,3.225806452,5,4,5,5,1.347937513,2.451757756,-1.447386847,1.677442522,2.362472374,1.110893198,0.6574502,1.498372274,1.573890212,2.403950748,1.558730164,1.87833756,2.337382393,3
