"","ID","Sample_Environment","Gender","Age","RT_Mirror_0","RT_Mirror_60","RT_Mirror_120","RT_Mirror_180","RT_Mirror_240","RT_Mirror_300","RT_Normal_0","RT_Normal_60","RT_Normal_120","RT_Normal_180","RT_Normal_240","RT_Normal_300","Error_rates_Mirror_0","Error_rates_Mirror_60","Error_rates_Mirror_120","Error_rates_Mirror_180","Error_rates_Mirror_240","Error_rates_Mirror_300","Error_rates_Normal_0","Error_rates_Normal_60","Error_rates_Normal_120","Error_rates_Normal_180","Error_rates_Normal_240","Error_rates_Normal_300"
"1","C01","CW","M",25,317.41,310.75,429.03,348.37,305.56,342.22,244.73,374.26,623.01,637.32,347.85,364.15,0,0,0,0,0,0,0,0,0,0.17,0,0
"2","C02","CW","M",32,609.24,749.73,732.32,633.6,1201.61,816.51,327.28,273.17,1196.28,648.54,437.7,381.48,0,0,0,0,0,0.17,0,0,0,0.67,0.33,0
"3","C03","CW","M",42,450.59,420.35,522.53,530.86,482.08,412.78,258.45,334.78,549.03,NA,422.21,289.65,0,0,0,0,0,0,0,0,0,1,0,0
"4","C05","CW","F",35,261.23,280.02,252.07,244.79,270.12,291.77,260.77,255.09,220.89,338.69,270.97,264.01,0.17,0,0.17,0,0,0,0,0,0,0,0,0
"5","C06","CW","M",26,676.59,1115.28,1223.25,1403.06,633.12,698.75,312.11,513.01,1124.16,522.76,306.46,494.85,0,0,0.17,0.5,0.5,0,0.17,0.17,0.33,0,0,0
"6","C07","CW","M",57,505.32,631.05,649,1087.9,742.55,562.74,260.62,449.53,707.26,1154.79,610.21,477.74,0,0,0,0,0,0,0.17,0,0,0.17,0,0
"7","C08","CW","F",50,717.09,833.63,627.87,812.46,708.63,567.55,625.83,452.38,446.35,689.7,502.41,518.95,0,0,0,0,0.17,0.17,0,0.17,0,0,0,0
"8","C09","CW","M",27,387.09,647.9,670.99,451.75,704.8,794.1,510.34,442.28,510.9,827.66,543.46,296.44,0.17,0,0,0.17,0,0,0.17,0,0.33,0.17,0.33,0.17
"9","C11","CW","F",27,526.27,443.83,539.28,830.81,686.69,377.93,321.58,384.11,479.4,542.4,377.47,349.2,0.17,0,0,0.17,0,0.17,0,0,0,0.33,0,0
"10","C12","CW","M",49,896.26,858.58,1274.22,8031.37,1660.51,1607.75,826.74,892,1198.49,1746.31,1164.48,795.61,0,0,0,0.33,0,0,0,0,0,0,0,0
"11","C14","CW","M",27,651.14,535.79,916.8,1119.22,510.72,540.7,263.38,356.35,546.06,966.7,362.37,354.68,0,0,0,0,0,0,0,0,0,0,0,0
"12","C15","CW","M",32,488.99,433.83,307.63,547.75,396.33,485.72,260.74,340.72,352.21,352.15,489.4,413.22,0,0,0,0.17,0,0.17,0,0.17,0,0.17,0.17,0.17
"13","C16","CW","F",34,350.27,397.29,524.37,684.68,431.95,373.72,269.15,345.6,408.83,479.63,452.9,396.42,0,0,0,0,0,0,0,0,0,0,0,0
"14","C17","CW","F",39,722.96,1163.62,1356.38,3121.62,1386.77,747.72,687.61,800.93,1181.06,1199.86,925.46,1168.66,0,0,0,0.5,0,0,0,0,0,0.17,0,0
"15","C18","CW","M",35,307.78,410.24,334.46,979.02,422.07,448.27,213.46,188.35,269.46,306.9,294.7,251.43,0,0,0,0.17,0.17,0,0,0,0,0,0,0
"16","C19","CW","M",58,513.2,532.7,576.31,780.24,586.24,499.94,183.59,369.52,406.08,958.45,439.2,303.82,0,0,0,0,0,0,0,0,0,0,0,0
"17","C20","CW","M",49,496.6,822.46,777.34,1416.87,900.79,666.33,418.38,439.49,695.98,755.55,626.21,573.75,0,0,0,0.33,0.17,0.17,0,0,0,0,0,0
"18","C21","CW","M",30,449.16,652.73,445.77,1594.37,912.55,629.49,375.64,483.82,509.09,1122.88,663.01,435.43,0,0,0,0.17,0,0,0,0,0,0,0,0
"19","C22","CW","M",29,2232.86,1615.76,1325.77,1154.22,1839.82,2082.88,866.36,744.6,1962.91,5994,1759.66,2281.85,0,0.17,0,0,0.17,0,0,0,0.17,0.83,0.17,0
"20","C23","CW","F",52,453.52,493.91,567.12,890.37,679.12,476.17,206.13,303.44,444.01,737.02,457.51,384.29,0,0,0,0,0,0,0,0,0,0,0,0
"21","C25","CW","F",20,1214.5,859.62,651.83,630.54,914.31,988.63,245.89,260.15,905.03,NA,781.23,346.62,0.17,0,0.17,0,0,0,0,0,0.17,1,0,0
"22","C26","CW","M",42,612.25,640.48,758.9,1149.33,757.4,737.53,485.32,546.86,923,1353.6,797.1,632.57,0,0,0.17,0,0,0,0,0,0,0,0,0.17
"23","C27","CW","M",24,564.34,475.21,730.23,1488.27,573.11,532.62,342.53,487.71,610.35,794.96,426.17,428.2,0,0.17,0,0,0,0.17,0,0,0,0,0,0
